Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Away,Charyl,Pass,0,0,60,49,71,28
Away,Elias,Pass,0,0,70,30,58,45
Away,Charyl,Pass,0,0,59,44,46,32
Away,Siwakorn,Pass,0,0,41,26,30,25
Home,Aris,foul,0,0,28,23,0,0
Away,Pakorn,freekick,0,47,26,24,9,46
Home,Saksit,clear,0,47,8,46,0,0
Away,Pakorn,corner,1,11,0,0,5,51
Home,Saksit,clear,1,11,5,51,0,0
Away,Go,ShotBlock,1,11,13,43,0,0
Home,Chayawat,block,1,11,9,43,0,0
Home,Chayawat,clear,1,11,11,46,0,0
Away,Philip,Pass,1,11,27,39,24,62
Home,Chayawat,intercept,1,11,22,62,0,0
Away,Bordin,getball,1,11,22,65,0,0
Away,Bordin,Pass,1,11,18,68,7,82
Away,Jaturapat,Through,1,11,6,79,10,54
Home,Yuto,intercept,1,11,11,54,0,0
Home,Yuto,Cross,1,11,10,56,39,74
Away,Rochela,Pass,1,11,38,75,24,90
Home,Nopphon,Pass,1,11,24,89,19,95
Home,Suphanan,Pass,2,34,15,90,4,96
Home,Saksit,Cross,2,34,4,95,38,73
Away,Rochela,Pass,2,34,40,71,22,86
Away,Charyl,Pass,2,34,21,87,28,90
Away,Bordin,go,2,34,28,89,34,72
Away,Bordin,Pass,2,34,35,71,53,44
Away,Elias,Pass,2,34,54,40,44,7
Away,Philip,Pass,2,34,52,6,67,26
Away,Elias,Pass,2,34,69,26,90,57
Away,Worawut,Cross,2,34,91,60,44,56
Home,Yuto,intercept,2,34,49,53,0,0
Home,Yuto,Pass,2,34,48,53,45,58
Home,Nopphon,Pass,2,34,45,58,26,38
Home,Aris,Pass,2,34,25,35,26,67
Home,Saksit,Pass,2,34,25,67,35,86
Home,Suphanan,Cross,2,34,35,85,78,71
Away,Worawut,Cross,3,18,86,47,34,60
Away,Patino,Pass,3,18,33,60,24,64
Home,Suphanan,intercept,3,18,24,64,0,0
Home,Suphanan,Pass,3,18,24,65,26,51
Home,Aris,Cross,3,18,25,51,53,24
Home,Eliandro,foul,3,18,47,30,0,0
Away,Elias,Pass,3,18,52,26,67,51
Away,Rochela,Pass,3,18,70,52,68,75
Away,Jaturapat,Pass,3,18,68,79,36,94
Home,Chayawat,Pass,3,18,40,83,24,81
Home,Saksit,Pass,3,18,23,80,21,41
Home,Aris,Pass,3,18,23,42,30,68
Home,Saksit,Through,3,18,37,69,73,93
Home,Suphanan,Pass,3,18,73,90,73,72
Away,Go,intercept,3,18,72,71,0,0
Away,Go,Pass,3,18,73,72,65,74
Away,Charyl,Pass,3,18,64,75,71,67
Away,Go,Through,3,18,70,68,45,28
Home,Chaiyawat,clear,3,18,33,27,0,0
Away,Siwakorn,Pass,4,14,36,11,40,5
Away,Philip,Pass,4,14,41,5,73,44
Away,Worawut,Pass,4,14,77,48,73,58
Away,Rochela,Cross,4,14,75,59,22,73
Home,Saksit,Pass,4,14,18,76,8,57
Home,Patiwat,Cross,4,14,6,57,37,63
Away,Go,Pass,4,14,38,65,7,44
Home,Patiwat,Pass,5,31,9,50,17,67
Home,Saksit,Pass,5,31,24,71,17,52
Home,Patiwat,Pass,5,31,17,51,25,33
Home,Aris,Pass,5,31,24,33,34,11
Home,Chaiyawat,Pass,5,31,33,12,54,4
Home,Daisuke,Through,5,31,60,4,84,4
Home,Yuto,Pass,5,31,88,5,72,5
Home,Chaiyawat,Pass,5,31,72,6,67,20
Home,Nopphon,ShotOffTarget,5,31,73,28,0,0
Away,Worawut,Cross,5,31,88,51,44,63
Away,Patino,Pass,5,31,44,63,26,69
Home,Suphanan,Pass,5,31,25,71,46,44
Home,Yuto,Pass,5,31,46,44,65,36
Away,Elias,Through,5,31,65,37,44,20
Away,Pakorn,Pass,5,31,37,3,38,19
Away,Patino,Pass,5,31,38,17,44,30
Away,Go,Cross,5,31,44,32,36,77
Away,Jaturapat,Pass,5,31,36,77,30,72
Away,Bordin,Pass,6,48,31,72,43,61
Away,Go,Pass,6,48,42,61,61,72
Away,Rochela,Cross,6,48,63,76,31,95
Away,Jaturapat,Pass,6,48,30,95,41,84
Away,Bordin,Pass,6,48,37,61,31,67
Away,Charyl,Pass,6,48,32,60,36,44
Away,Pakorn,Pass,6,48,36,45,30,46
Home,Aris,intercept,6,48,30,44,0,0
Home,Aris,Pass,6,48,34,42,54,26
Home,Daisuke,Through,6,48,67,25,77,47
Away,Charyl,Pass,6,48,72,65,66,14
Away,Philip,Pass,6,48,66,14,44,6
Home,Aris,Pass,6,48,30,11,23,48
Home,Saksit,Through,6,48,26,70,61,93
Home,Suphanan,Through,6,48,64,93,93,81
Home,Jaroensak,Through,6,48,94,79,91,45
Away,Elias,intercept,6,48,92,44,0,0
Home,Jaroensak,corner,8,28,100,0,95,49
Away,Elias,clear,8,28,98,40,0,0
Home,Nopphon,Pass,8,28,66,44,68,18
Home,Yuto,Pass,8,28,67,14,81,13
Home,Jaroensak,Cross,8,28,88,12,95,56
Away,Jaturapat,Cross,8,28,91,85,81,78
Home,Suphanan,intercept,8,28,84,86,0,0
Away,Rochela,Pass,9,34,88,61,76,75
Away,Jaturapat,Pass,9,34,77,73,82,54
Away,Jaturapat,Cross,9,34,77,93,35,68
Home,Patiwat,Pass,9,34,12,57,22,41
Home,Aris,Pass,9,34,22,41,29,14
Home,Chaiyawat,Pass,9,34,32,13,26,34
Home,Aris,Pass,9,34,27,33,31,67
Home,Saksit,Pass,9,34,33,63,28,38
Home,Aris,Pass,9,34,25,42,31,23
Home,Chaiyawat,Pass,9,34,47,12,68,5
Away,Go,intercept,9,34,74,9,0,0
Away,Go,Cross,9,34,79,15,56,38
Home,Nopphon,intercept,10,29,57,39,0,0
Home,Nopphon,Through,10,29,69,58,81,87
Home,Jaroensak,Pass,10,29,77,86,72,62
Home,Suphanan,Pass,10,29,67,65,67,45
Home,Chaiyawat,ShotOnTarget,10,29,71,39,0,0
Home,Jaroensak,Pass,10,29,76,89,40,79
Home,Saksit,Pass,10,29,38,75,21,51
Home,Patiwat,Pass,10,29,21,47,28,37
Home,Aris,Pass,10,29,28,39,17,55
Home,Patiwat,Cross,10,29,16,58,62,49
Away,Elias,intercept,10,29,61,50,0,0
Away,Go,Pass,10,29,53,55,66,33
Away,Philip,Pass,10,29,67,32,55,34
Home,Yuto,intercept,10,29,56,35,0,0
Home,Nopphon,Pass,10,29,51,34,57,34
Home,Nopphon,Pass,10,29,52,30,54,8
Home,Chaiyawat,Pass,10,29,54,9,53,22
Home,Nopphon,Pass,10,29,53,21,62,20
Home,Yuto,Pass,11,47,61,20,70,41
Home,Chayawat,Pass,11,47,70,33,56,25
Home,Nopphon,Pass,11,47,54,27,67,49
Home,Suphanan,Pass,11,47,66,47,46,63
Home,Saksit,Pass,11,47,35,62,67,88
Home,Jaroensak,Pass,11,47,64,89,44,73
Home,Saksit,Pass,11,47,41,71,40,39
Home,Aris,Pass,11,47,39,38,45,24
Home,Chaiyawat,Cross,11,47,53,20,83,21
Home,Chayawat,Pass,11,47,87,24,73,24
Home,Yuto,ShotOffTarget,11,47,78,23,0,0
Away,Worawut,Cross,12,31,83,27,20,49
Home,Suphanan,clear,12,31,8,49,0,0
Away,Pakorn,corner,12,31,0,0,6,49
Home,Eliandro,Through,12,31,10,37,27,32
Home,Jaroensak,go,12,31,30,30,64,10
Home,Jaroensak,Cross,12,31,66,13,74,28
Away,Go,intercept,12,31,75,30,0,0
Home,Nopphon,foul,14,43,41,65,0,0
Away,Elias,Pass,14,43,55,45,51,26
Away,Philip,Pass,14,43,49,28,33,8
Away,Pakorn,foul,14,43,34,8,0,0
Home,Aris,Cross,15,50,29,20,62,33
Away,Go,Cross,15,50,43,24,24,39
Away,Patino,ShotBlock,15,50,8,34,0,0
Home,Saksit,block,15,50,8,33,0,0
Home,Chaiyawat,Pass,15,50,25,3,31,13
Home,Yuto,Cross,15,50,30,14,55,23
Away,Elias,intercept,15,50,55,24,0,0
Away,Elias,Cross,15,50,56,26,31,11
Home,Chaiyawat,getball,15,50,29,25,0,0
Home,Nopphon,getball,15,50,32,30,0,0
Home,Chaiyawat,Pass,15,50,33,29,41,7
Away,Philip,clear,15,50,41,6,0,0
